feature,auc_black,mi_black,corr_black,pval_black,n_valid_black,n_missing_black,auc_asian,mi_asian,corr_asian,pval_asian,n_valid_asian,n_missing_asian,auc_hisp,mi_hisp,corr_hisp,pval_hisp,n_valid_hisp,n_missing_hisp,auc_other,mi_other,corr_other,pval_other,n_valid_other,n_missing_other,auc_male,mi_male,corr_male,pval_male,n_valid_male,n_missing_male
bar2,0.5891,0.0111,0.191,0.0,17925,0,0.5131,0.0002,0.0232,0.001932,17925,0,0.5777,0.0007,0.0486,0.0,17925,0,0.5298,0.0005,0.0358,2e-06,17925,0,0.5042,0.0002,0.0186,0.012608,17925,0
bar_passed,0.5891,0.0111,0.1908,0.0,17925,0,0.513,0.0002,0.0231,0.001987,17925,0,0.5777,0.0007,0.0486,0.0,17925,0,0.5298,0.0005,0.0358,2e-06,17925,0,0.5042,0.0002,0.0189,0.011364,17925,0
bar2_yr,0.5863,0.0045,0.1021,0.0,17893,32,0.4802,0.0002,0.0206,0.005827,17893,32,0.4016,0.0005,0.0345,4e-06,17893,32,0.4519,0.0006,0.0332,9e-06,17893,32,0.492,0.0004,0.0203,0.006711,17893,32
cluster,0.5735,0.016,0.0839,0.0,17858,67,0.5845,0.0035,0.0527,0.0,17858,67,0.5724,0.0007,0.0163,0.029684,17858,67,0.529,0.0002,0.0141,0.058789,17858,67,0.515,0.0012,0.0281,0.000169,17858,67
tier,0.5365,0.016,0.0598,0.0,17858,67,0.6024,0.0035,0.0737,0.0,17858,67,0.5019,0.0007,0.0057,0.445561,17858,67,0.5227,0.0002,0.0091,0.22215,17858,67,0.5054,0.0012,0.0078,0.294711,17858,67
bar1_yr,0.5222,0.0007,0.0334,8e-06,17894,31,0.509,0.0001,0.0091,0.223192,17894,31,0.5147,0.0001,0.007,0.349041,17894,31,0.5017,0.0,0.0022,0.771612,17894,31,0.5005,0.0001,0.0028,0.704516,17894,31
DOB_yr,0.5202,0.001,0.0092,0.216922,17886,39,0.5673,0.0023,0.0518,0.0,17886,39,0.6243,0.0005,0.0238,0.001466,17886,39,0.5165,0.0003,0.0045,0.550274,17886,39,0.4774,0.005,0.0255,0.000661,17886,39
grad,0.5054,0.0005,0.0392,0.0,17925,0,0.5031,0.0001,0.0185,0.013188,17925,0,0.4981,0.0,0.0041,0.58532,17925,0,0.5019,0.0001,0.0079,0.288371,17925,0,0.5006,0.0001,0.0085,0.256583,17925,0
parttime,0.5033,0.0,0.0059,0.429857,17900,25,0.5163,0.0003,0.0243,0.001125,17900,25,0.5091,0.0,0.0048,0.522837,17900,25,0.5071,0.0,0.0072,0.335381,17900,25,0.5006,0.0,0.0023,0.757139,17900,25
fulltime,0.5033,0.0,0.0059,0.429857,17900,25,0.5163,0.0003,0.0243,0.001125,17900,25,0.5091,0.0,0.0048,0.522837,17900,25,0.5071,0.0,0.0072,0.335381,17900,25,0.5006,0.0,0.0023,0.757139,17900,25
Dropout,0.5,0.0,0.0019,0.799731,17925,0,0.5,0.0,0.0015,0.837339,17925,0,0.5,0.0,0.0005,0.944326,17925,0,0.5,0.0,0.001,0.891913,17925,0,0.5001,0.0,0.0084,0.258997,17925,0
age,0.4982,0.0011,0.0014,0.856305,17855,70,0.5569,0.0023,0.048,0.0,17855,70,0.6033,0.0004,0.0211,0.004756,17855,70,0.5104,0.0005,0.0036,0.630201,17855,70,0.4826,0.0042,0.0244,0.00109,17855,70
